Median House Price,Household Estimates,Median Time on Market,Inflation,Unemployment Rate (Percent),Housing Affordability Index,Prime Rate,Gold Prices per oz ,USD to Japanese Yen (1st of every month) second link,CA Real GDP (Millions of Chained 2012 dollars),CA Nominal GDP (Millions of Current Dollars),Mortgage Rate(Multiplied by 1000)
467160,117608,44.3,1.4,5.7,34,3.5,1096.19,120.38,2478530,2618837.10,3336.666667
444780,117608,41.5,1,5.6,34,3.5,1201.38,120.87,2478530,2618837.10,3150
484120,117401,29.9,0.9,5.6,34,3.5,1245.28,112.95,2478530,2618837.10,3186.666667
509240,118252,27.8,1.1,5.5,30,3.5,1241.28,112.38,2484500,2637628.30,3103.333333
519930,118369,27.4,1,5.5,30,3.5,1256.4,107.15,2484500,2637628.30,3083.333333
518980,118215,27.2,1,5.5,30,3.5,1276.36,110.68,2484500,2637628.30,3063.333333
511420,118467,28,0.8,5.5,30,3.5,1339.76,102.9,2510597,2672126.30,2980
527490,118294,28,1.1,5.5,30,3.5,1338.56,103.6,2510597,2672126.30,2980
516450,119026,28,1.5,5.4,30,3.5,1326.6,103.05,2510597,2672126.30,3010
513520,118796,29,1.6,5.4,30,3.5,1265.76,101.11,2530175,2702598.90,3020
502490,118654,30,1.7,5.4,30,3.5,1233.98,105.02,2530175,2702598.90,3263.333333
510560,118478,32,2.1,5.3,30,3.75,1150.21,113.34,2530175,2702598.90,3620
491840,118799,17,2.5,5.2,32,3.75,1194.35,117.55,2557629,2744565.40,3593.333333
480270,119038,33.3,2.7,5.1,32,3.75,1235.11,113.25,2557629,2744565.40,3583.333333
518600,118562,23,2.4,5,32,4,1231.22,113.73,2557629,2744565.40,3606.666667
537950,119110,17,2.2,4.9,29,4,1271.17,110.9,2592698,2791563.50,3500
550239,119203,14,1.9,4.9,29,4,1245.67,111.84,2592698,2791563.50,3463.333333
555410,118385,14,1.6,4.8,29,4.25,1260.25,111.37,2592698,2791563.50,3403.333333
549460,118490,16,1.7,4.8,28,4.25,1237.53,113.38,2624367,2838905.50,3476.666667
565330,119118,18,1.9,4.7,28,4.25,1284.25,110.36,2624367,2838905.50,3396.666667
555410,119646,20,2.2,4.6,28,4.25,1315.39,110.25,2624367,2838905.50,3360
546430,120081,21,2,4.6,29,4.25,1279.51,112.77,2668034,2901408.20,3426.666667
546820,120210,22,2.2,4.5,29,4.25,1281.9,114.18,2668034,2901408.20,3483.333333
546550,120263,25,2.1,4.4,29,4.5,1264.45,112.17,2668034,2901408.20,3576.666667
527780,120269,20,2.1,4.4,31,4.5,1312.8,112.76,2681388.1,2928096.50,3660
522440,119795,22,2.2,4.3,31,4.5,1341.35,109.1,2681388.1,2928096.50,3906.666667
564830,119870,16,2.4,4.3,31,4.58,1307.75,106.95,2681388.1,2928096.50,4000
584460,121081,15,2.5,4.3,26,4.75,1336.6,106.32,2720177.3,2992622.80,4020
600860,121315,15,2.8,4.3,26,4.75,1307.1,109.3,2720177.3,2992622.80,4150
602770,121325,15,2.9,4.2,26,4.89,1294.6,108.99,2720177.3,2992622.80,4143.333333
591230,120815,18,2.9,4.2,27,5,1249,110.59,2732524.9,3017340.50,4126.666667
595920,121307,21,2.7,4.2,27,5,1222.75,111.58,2732524.9,3017340.50,4146.666667
578420,121940,23,2.3,4.2,27,5.03,1201.7,110.97,2732524.9,3017340.50,4216.666667
572000,122378,26,2.5,4.2,28,5.25,1185.3,113.59,2752513.7,3052871.30,4386.666667
554240,122474,28,2.2,4.2,28,5.25,1231.15,112.92,2752513.7,3052871.30,4420
557740,122556,32,1.9,4.3,28,5.35,1231.05,113.4,2752513.7,3052871.30,4250
536830,122429,38,1.6,4.3,32,5.5,1287.2,110.09,2771273.1,3087669.40,4093.333333
534120,122190,33,1.5,4.3,32,5.5,1318.7,108.75,2771273.1,3087669.40,4013.333333
565740,122321,25,1.9,4.2,32,5.5,1309.95,111.18,2771273.1,3087669.40,3940
603030,122515,21,2,4.2,30,5.5,1291.9,110.81,2784467.2,3123731.50,3833.333333
610940,122509,18,1.8,4.1,30,5.5,1281.8,111.45,2784467.2,3123731.50,3750
610720,122335,19,1.6,4,30,5.5,1313.95,108.83,2784467.2,3123731.50,3506.666667
607990,122335,21,1.8,4,31,5.5,1390.05,108.19,2798677.2,3155223.70,3480
617410,122333,23,1.7,3.9,31,5.25,1406.8,108.75,2798677.2,3155223.70,3353.333333
605680,122739,24,1.7,3.9,31,5.15,1523.35,106.32,2798677.2,3155223.70,3370
605280,123133,24,1.8,3.9,31,4.99,1466.1,108.07,2813699,3183251.30,3403.333333
589770,123820,25,2.1,3.9,31,4.75,1508.8,108.22,2813699,3183251.30,3423.333333
614880,124208,28,2.3,3.9,31,4.75,1457.5,109.54,2813699,3183251.30,3430
575160,124264,31,2.5,3.9,35,4.75,1527.1,108.75,2780246.8,3164380.40,3340
579770,123949,23,2.3,3.9,35,4.75,1578.85,108.86,2780246.8,3164380.40,3233.333333
612440,124960,15,1.5,5.5,35,3.73,1609.7,108.65,2780246.8,3164380.00,3166.666667
606410,126050,13,0.3,16.4,33,3.25,1594.25,108.03,2780246.8,3164380.40,3140
588070,127045,17,0.1,16.4,33,3.25,1673.05,106.74,2780246.8,3164380.40,3026.666667
626170,127245,19,0.6,14.9,33,3.25,1730.6,107.46,2780246.8,3164380.40,2950